Tile Identifier,Acquisition Date,Tile Grid Region,Tile Grid Horizontal,Tile Grid Vertical,Tile Production Date,Cloud Cover,Cloud Shadow,Snow Ice,Fill (No Data),Spacecraft Identifier,Sensor Identifier,Scene Count,Datum,Map Projection,Units,ARD Version,Level-1 Collection Number,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LR Corner Lat,LR Corner Long,LL Corner Lat,LL Corner Long,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LR Corner Lat dec,LR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,Display ID,Ordering ID,Browse Link
LT05_CU_003003_19840516_20170912_C01_V01,1984/05/16,CU,3,3,2017/09/12,61.1949,11.999,3.1613,1.2917,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19840516_20170912_C01_V01,LT05_CU_003003_19840516_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19840516_C01_V01
LT05_CU_003003_19840414_20170912_C01_V01,1984/04/14,CU,3,3,2017/09/12,3.0445,.5147,7.7887,63.1209,LANDSAT_5,TM,1,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19840414_20170912_C01_V01,LT05_CU_003003_19840414_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19840414_C01_V01
LT05_CU_003003_19840617_20170912_C01_V01,1984/06/17,CU,3,3,2017/09/12,8.0882,2.3583,1.1089,1.7568,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19840617_20170912_C01_V01,LT05_CU_003003_19840617_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19840617_C01_V01
LT05_CU_003003_19840804_20170912_C01_V01,1984/08/04,CU,3,3,2017/09/12,3.1431,1.458,.0485,3.2854,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19840804_20170912_C01_V01,LT05_CU_003003_19840804_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19840804_C01_V01
LT04_CU_003003_19821229_20170912_C01_V01,1982/12/29,CU,3,3,2017/09/12,42.3582,7.0029,6.8495,24.1587,LANDSAT_4,TM,1,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT04_CU_003003_19821229_20170912_C01_V01,LT04_CU_003003_19821229_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT04_CU_003003_19821229_C01_V01
LT04_CU_003003_19821120_20170912_C01_V01,1982/11/20,CU,3,3,2017/09/12,78.1007,14.7163,8.2689,79.0737,LANDSAT_4,TM,1,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT04_CU_003003_19821120_20170912_C01_V01,LT04_CU_003003_19821120_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT04_CU_003003_19821120_C01_V01
LT04_CU_003003_19830130_20170912_C01_V01,1983/01/30,CU,3,3,2017/09/12,91.0102,2.694,5.5816,2.257,LANDSAT_4,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT04_CU_003003_19830130_20170912_C01_V01,LT04_CU_003003_19830130_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT04_CU_003003_19830130_C01_V01
LT05_CU_003003_19840601_20170912_C01_V01,1984/06/01,CU,3,3,2017/09/12,7.587,.6007,2.7435,1.6638,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19840601_20170912_C01_V01,LT05_CU_003003_19840601_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19840601_C01_V01
LT05_CU_003003_19840523_20170912_C01_V01,1984/05/23,CU,3,3,2017/09/12,45.3264,13.3554,6.834,73.6148,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19840523_20170912_C01_V01,LT05_CU_003003_19840523_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19840523_C01_V01
LT05_CU_003003_19840507_20170912_C01_V01,1984/05/07,CU,3,3,2017/09/12,41.8475,3.6657,.1247,70.4956,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19840507_20170912_C01_V01,LT05_CU_003003_19840507_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19840507_C01_V01
LT05_CU_003003_19840610_20170912_C01_V01,1984/06/10,CU,3,3,2017/09/12,63.1172,3.8389,2.1262,62.574,LANDSAT_5,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT05_CU_003003_19840610_20170912_C01_V01,LT05_CU_003003_19840610_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT05_CU_003003_19840610_C01_V01
LT04_CU_003003_19821204_20170912_C01_V01,1982/12/04,CU,3,3,2017/09/12,28.6768,6.6558,6.4035,74.8576,LANDSAT_4,TM,2,WGS84,AEA,METERS,01,01,44°41'17.09"N,121°16'45.91"W,46°21'24.46"N,121°16'45.91"W,46°21'24.46"N,123°39'10.66"W,44°41'17.09"N,123°39'10.66"W,44.6880805402,-121.279418402,46.35679328,-121.279418402,46.35679328,-123.652959903,44.6880805402,-123.652959903,LT04_CU_003003_19821204_20170912_C01_V01,LT04_CU_003003_19821204_20170912_C01_V01,https://earthexplorer.usgs.gov/browse-link/14320/LT04_CU_003003_19821204_C01_V01
